               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                  48,            0.099755,             0.19775,            0.011399,             0.12949,             0.40656,             0.35452,             0.32173,             0.12354,            0.092114,             0.27159,            0.013354,             0.11914,           0.0089585,           0.0089585,           0.0089585
                  49,             0.10022,             0.18928,            0.011331,             0.12892,             0.46783,             0.32571,             0.29722,             0.11916,            0.093627,             0.26723,            0.012745,              0.1194,           0.0089159,           0.0089159,           0.0089159
                  50,            0.099926,              0.2059,            0.011228,             0.12951,             0.51309,             0.34707,             0.34042,             0.14513,            0.090282,               0.275,            0.013158,             0.11907,           0.0088725,           0.0088725,           0.0088725
                  51,             0.10128,             0.19526,            0.011292,             0.12925,             0.51785,             0.33191,             0.32789,             0.12885,            0.091393,             0.27217,            0.013584,             0.11809,           0.0088284,           0.0088284,           0.0088284
                  52,            0.097707,             0.19654,            0.011845,              0.1297,             0.56597,             0.33205,             0.31822,             0.11759,            0.092861,             0.26828,            0.015067,              0.1196,           0.0087837,           0.0087837,           0.0087837
                  53,            0.099519,             0.18849,            0.011094,             0.12912,             0.53614,             0.33914,             0.31266,             0.13171,            0.090748,             0.27291,            0.014504,             0.11702,           0.0087382,           0.0087382,           0.0087382
                  54,            0.097002,             0.18981,            0.011006,             0.12937,             0.68872,             0.30505,              0.3047,             0.10796,            0.095009,             0.26878,            0.014713,             0.11822,           0.0086921,           0.0086921,           0.0086921
                  55,             0.10051,             0.20029,            0.011013,             0.12851,              0.4325,             0.35507,             0.33482,             0.14273,            0.091823,             0.26946,            0.012806,             0.11635,           0.0086452,           0.0086452,           0.0086452
                  56,            0.098927,               0.184,            0.011333,              0.1272,             0.50301,             0.34651,             0.31528,             0.12092,             0.09292,             0.26624,            0.013409,             0.11624,           0.0085978,           0.0085978,           0.0085978
                  57,            0.099169,             0.18888,            0.012097,             0.12942,             0.61925,             0.32087,             0.33238,              0.1428,            0.090795,             0.27004,            0.013776,             0.11567,           0.0085497,           0.0085497,           0.0085497
                  58,            0.098287,             0.19885,            0.010786,             0.12597,             0.55307,             0.34397,             0.34176,             0.14296,            0.093475,             0.26954,            0.012406,             0.11475,            0.008501,            0.008501,            0.008501
                  59,             0.09961,             0.20756,            0.011078,             0.12678,             0.55102,             0.31116,             0.32102,             0.12472,            0.092739,             0.27519,            0.012952,             0.11615,           0.0084516,           0.0084516,           0.0084516
                  60,            0.098437,             0.19517,             0.01039,             0.12707,             0.54923,             0.32614,             0.31954,             0.13314,            0.092003,             0.27086,            0.013463,             0.11516,           0.0084017,           0.0084017,           0.0084017
                  61,            0.099258,             0.20187,            0.012337,             0.12601,             0.57199,             0.33371,             0.33025,             0.13448,            0.090887,             0.27206,            0.017913,             0.11474,           0.0083511,           0.0083511,           0.0083511
                  62,            0.098489,             0.21276,            0.012129,             0.12631,             0.47241,             0.32976,             0.32916,             0.13469,             0.09287,             0.27351,            0.015917,             0.11492,              0.0083,              0.0083,              0.0083
                  63,            0.099595,             0.20251,            0.011034,             0.12416,             0.43518,             0.32219,             0.31587,             0.12404,            0.092163,             0.27234,            0.014035,             0.11552,           0.0082483,           0.0082483,           0.0082483
                  64,            0.099342,             0.20094,            0.011139,             0.12449,             0.49747,              0.3181,             0.30772,             0.12857,            0.093321,             0.26805,            0.013666,             0.11459,           0.0081961,           0.0081961,           0.0081961
                  65,            0.099856,             0.20834,            0.011363,             0.12533,             0.44512,             0.34167,             0.32707,             0.13503,              0.0913,             0.27158,            0.013548,             0.11431,           0.0081433,           0.0081433,           0.0081433
                  66,            0.096311,             0.18435,            0.011158,             0.12626,             0.52196,             0.30459,             0.32194,             0.13358,            0.093062,             0.26989,            0.013123,             0.11437,             0.00809,             0.00809,             0.00809
                  67,            0.099281,             0.19904,            0.011677,             0.12549,             0.45323,             0.34247,             0.32897,             0.13383,             0.09064,             0.27304,            0.013944,             0.11421,           0.0080362,           0.0080362,           0.0080362
                  68,            0.096685,             0.19626,            0.012094,             0.12655,             0.55032,             0.32811,             0.32559,             0.13295,            0.092011,               0.272,            0.014037,             0.11372,           0.0079818,           0.0079818,           0.0079818
                  69,            0.098689,             0.19835,             0.01091,             0.12679,             0.54762,             0.30493,              0.3202,             0.14421,            0.092054,             0.26998,            0.012406,             0.11303,            0.007927,            0.007927,            0.007927
                  70,            0.097069,             0.18548,            0.010263,             0.12308,             0.44579,             0.33279,             0.32474,             0.12895,            0.092079,             0.27139,            0.013092,             0.11378,           0.0078717,           0.0078717,           0.0078717
                  71,            0.097789,             0.19853,            0.011056,             0.12402,             0.57671,             0.33809,             0.33891,             0.13919,            0.089745,             0.27409,            0.013163,             0.11274,            0.007816,            0.007816,            0.007816
                  72,            0.096565,              0.1791,            0.010813,             0.12142,             0.55324,              0.3424,             0.34179,             0.14315,            0.091041,              0.2686,            0.012557,             0.11168,           0.0077598,           0.0077598,           0.0077598
                  73,            0.098704,              0.1954,            0.010291,             0.12331,             0.58873,             0.32922,             0.33827,             0.14164,            0.090728,             0.27111,             0.01309,             0.11145,           0.0077031,           0.0077031,           0.0077031
                  74,            0.097117,              0.1908,            0.011114,             0.12195,             0.41402,             0.36511,             0.34244,             0.14828,            0.089761,             0.27329,            0.013227,             0.11196,           0.0076461,           0.0076461,           0.0076461
                  75,            0.096594,             0.17984,            0.010243,             0.12187,             0.51951,              0.3337,             0.34188,             0.14872,            0.090418,             0.27087,            0.012233,             0.11132,           0.0075886,           0.0075886,           0.0075886
                  76,            0.098944,             0.18395,            0.010804,             0.12416,             0.52212,              0.3422,             0.33573,             0.14245,            0.089044,             0.27492,            0.013123,             0.11203,           0.0075307,           0.0075307,           0.0075307
                  77,            0.096181,             0.19307,             0.01024,             0.12263,             0.45233,              0.3399,             0.32627,               0.136,            0.089525,             0.27364,            0.013188,             0.11121,           0.0074725,           0.0074725,           0.0074725
                  78,            0.097955,             0.19026,            0.011158,              0.1245,               0.609,             0.31151,             0.32085,             0.12831,            0.092222,             0.26826,            0.012937,             0.11085,           0.0074139,           0.0074139,           0.0074139
                  79,             0.09745,             0.20287,            0.011056,             0.12395,             0.46012,             0.33471,             0.33447,             0.14378,            0.090601,             0.27359,            0.012994,              0.1105,            0.007355,            0.007355,            0.007355
                  80,            0.096885,             0.19942,           0.0097597,             0.12121,             0.49461,             0.29758,              0.3102,             0.12983,            0.089266,             0.28067,            0.012821,             0.11253,           0.0072957,           0.0072957,           0.0072957
